game 487 : Score 0 : 34570, score 1 : 17170
game 488 : Score 0 : 34730, score 1 : 17170
game 489 : Score 0 : 34810, score 1 : 17170
game 490 : Score 0 : 34900, score 1 : 17170
game 491 : Score 0 : 34990, score 1 : 17170
game 492 : Score 0 : 35150, score 1 : 17170
game 493 : Score 0 : 35230, score 1 : 17170
game 494 : Score 0 : 35320, score 1 : 17170
game 495 : Score 0 : 35320, score 1 : 17250
game 496 : Score 0 : 35320, score 1 : 17350
game 497 : Score 0 : 35410, score 1 : 17350
game 498 : Score 0 : 35490, score 1 : 17350
game 499 : Score 0 : 35580, score 1 : 17350
game 500 : Score 0 : 35670, score 1 : 17350
game 501 : Score 0 : 35760, score 1 : 17350
game 502 : Score 0 : 35840, score 1 : 17350
game 503 : Score 0 : 35840, score 1 : 17510
game 504 : Score 0 : 35840, score 1 : 17600
game 505 : Score 0 : 35920, score 1 : 17600
game 506 : Score 0 : 36010, score 1 : 17600
game 507 : Score 0 : 36100, score 1 : 17600
game 508 : Score 0 : 36190, score 1 : 17600
game 509 : Score 0 : 36280, score 1 : 17600
game 510 : Score 0 : 36440, score 1 : 17600
game 511 : Score 0 : 36600, score 1 : 17600
game 512 : Score 0 : 36690, score 1 : 17600
game 513 : Score 0 : 36690, score 1 : 17680
game 514 : Score 0 : 36780, score 1 : 17680
game 515 : Score 0 : 36870, score 1 : 17680
game 516 : Score 0 : 36960, score 1 : 17680
game 517 : Score 0 : 37050, score 1 : 17680
game 518 : Score 0 : 37050, score 1 : 17760
game 519 : Score 0 : 37150, score 1 : 17760
game 520 : Score 0 : 37240, score 1 : 17760
game 521 : Score 0 : 37240, score 1 : 17850
game 522 : Score 0 : 37400, score 1 : 17850
game 523 : Score 0 : 37400, score 1 : 17940
game 524 : Score 0 : 37400, score 1 : 18040
game 525 : Score 0 : 37400, score 1 : 18200
game 526 : Score 0 : 37400, score 1 : 18280
game 527 : Score 0 : 37480, score 1 : 18280
game 528 : Score 0 : 37480, score 1 : 18360
game 529 : Score 0 : 37640, score 1 : 18360
game 530 : Score 0 : 37640, score 1 : 18450
game 531 : Score 0 : 37640, score 1 : 18550
game 532 : Score 0 : 37720, score 1 : 18550
game 533 : Score 0 : 37720, score 1 : 18710
game 534 : Score 0 : 37720, score 1 : 18790
game 535 : Score 0 : 37800, score 1 : 18790
game 536 : Score 0 : 37800, score 1 : 18870
game 537 : Score 0 : 37890, score 1 : 18870
game 538 : Score 0 : 37980, score 1 : 18870
game 539 : Score 0 : 38140, score 1 : 18870
game 540 : Score 0 : 38140, score 1 : 18960
game 541 : Score 0 : 38300, score 1 : 18960
game 542 : Score 0 : 38460, score 1 : 18960
game 543 : Score 0 : 38560, score 1 : 18960
game 544 : Score 0 : 38560, score 1 : 19120
game 545 : Score 0 : 38660, score 1 : 19120
game 546 : Score 0 : 38660, score 1 : 19200
game 547 : Score 0 : 38660, score 1 : 19300
game 548 : Score 0 : 38660, score 1 : 19390
game 549 : Score 0 : 38750, score 1 : 19390
game 550 : Score 0 : 38750, score 1 : 19550
game 551 : Score 0 : 38750, score 1 : 19710
game 552 : Score 0 : 38910, score 1 : 19710
game 553 : Score 0 : 39070, score 1 : 19710
game 554 : Score 0 : 39230, score 1 : 19710
game 555 : Score 0 : 39230, score 1 : 19870
game 556 : Score 0 : 39310, score 1 : 19870
game 557 : Score 0 : 39310, score 1 : 19960
game 558 : Score 0 : 39400, score 1 : 19960
game 559 : Score 0 : 39400, score 1 : 20060
game 560 : Score 0 : 39490, score 1 : 20060
game 561 : Score 0 : 39650, score 1 : 20060
game 562 : Score 0 : 39650, score 1 : 20150
game 563 : Score 0 : 39810, score 1 : 20150
game 564 : Score 0 : 39810, score 1 : 20240
game 565 : Score 0 : 39970, score 1 : 20240
game 566 : Score 0 : 40130, score 1 : 20240
game 567 : Score 0 : 40130, score 1 : 20330
game 568 : Score 0 : 40230, score 1 : 20330
game 569 : Score 0 : 40230, score 1 : 20420
game 570 : Score 0 : 40230, score 1 : 20580
game 571 : Score 0 : 40320, score 1 : 20580
game 572 : Score 0 : 40320, score 1 : 20670
game 573 : Score 0 : 40320, score 1 : 20750
game 574 : Score 0 : 40410, score 1 : 20750
game 575 : Score 0 : 40500, score 1 : 20750
game 576 : Score 0 : 40500, score 1 : 20840
game 577 : Score 0 : 40500, score 1 : 21000
game 578 : Score 0 : 40590, score 1 : 21000
game 579 : Score 0 : 40680, score 1 : 21000
game 580 : Score 0 : 40770, score 1 : 21000
game 581 : Score 0 : 40860, score 1 : 21000
game 582 : Score 0 : 40950, score 1 : 21000
game 583 : Score 0 : 40950, score 1 : 21090
game 584 : Score 0 : 40950, score 1 : 21250
